Song Title	Date	Language
Captivated	1/1/12	English
In Christ Alone	1/1/12	English
Nothing but the blood of Jesus	1/1/12	English
Que seria de mi	1/1/12	Spanish
Si hubiera estado alli	1/1/12	Spanish
Create In Me a Clean Heart	1/8/12	Both
Dame tus ojos	1/8/12	Spanish
Follow You	1/8/12	English
I am free	1/8/12	English
Tal como soy	1/8/12	Spanish
How He Loves Us	1/15/12	English
I am free	1/15/12	English
No Es Como Yo	1/15/12	Spanish
Our God	1/15/12	Both
Que seria de mi	1/15/12	Spanish
Aumenta mi fe	1/22/12	Spanish
House of God Forever	1/22/12	English
Mi Herencia	1/22/12	Spanish
Tal como soy	1/22/12	Spanish
The Solid Rock	1/22/12	English
Tu fidelidad	1/22/12	Spanish
Aumenta mi fe	1/29/12	Spanish
Dame tus ojos	1/29/12	Spanish
In Christ Alone	1/29/12	English
Sera Llena La Tierra	1/29/12	Spanish
Your Love Is Strong	1/29/12	English
Beautiful	2/5/12	English
Eres Todopoderoso	2/5/12	Spanish
I am free	2/5/12	English
Nothing but the blood of Jesus	2/5/12	English
Take My Life	2/5/12	Spanish
Llenas Mi Ser	2/12/12	Spanish
Lord Reign In Me	2/12/12	English
Me Has Atraido Jesus	2/12/12	Spanish
Mi Jesus Mi Amado	2/12/12	Spanish
Romans 7	2/12/12	English
Free (Hillsong United)	2/19/12	English
Lord Reign In Me	2/19/12	English
Nothing but the blood of Jesus	2/19/12	Spanish
Our God	2/19/12	Both
Quien nos Separara?	2/19/12	Spanish
Before the Throne	2/26/12	English
In Christ Alone	2/26/12	English
Me Has Atraido Jesus	2/26/12	Spanish
Quien nos Separara?	2/26/12	Spanish
Take My Life	2/26/12	Spanish
Aumenta mi fe	3/4/12	Spanish
Beautiful	3/4/12	English
Blessed Be Your Name	3/4/12	Both
None But Jesus	3/4/12	English
The Potter's Hand	3/4/12	English
Awesome is the Lord Most High	3/11/12	English
Jesus es el Senor	3/11/12	Spanish
Mighty to Save	3/11/12	Spanish
Spirit of the Living God	3/11/12	English
We Speak to Nations	3/11/12	English
Days of Elijah	3/18/12	English
Indescribable	3/18/12	English
Lion of Judah	3/18/12	English
Mighty to Save	3/18/12	English
Renuevame	3/18/12	Spanish
Take My Life	3/25/12	Spanish
The Solid Rock	3/25/12	English
Hosanna (Baloche)	4/1/12	English
Mantos y Palmas	4/1/12	Spanish
Si hubiera estado alli	4/1/12	Spanish
Sing for Joy	4/1/12	English
Yo Quiero Mas De Ti	4/1/12	Spanish
Because He Lives	4/8/12	English
Christ the Lord is Risen Today	4/8/12	English
He Lives	4/8/12	English
Praise the Name of Jesus	4/8/12	English
Rise	4/8/12	English
Everlasting God	4/15/12	English
Mighty to Save	4/15/12	Spanish
None But Jesus	4/15/12	Spanish
Sing for Joy	4/15/12	English
Yo Quiero Mas De Ti	4/15/12	Spanish
Isaiah 43	4/22/12	English
Lead Me To The Cross	4/22/12	Spanish
Prince of Peace	4/22/12	Spanish
Renuevame	4/22/12	Spanish
The Solid Rock	4/22/12	English
How He Loves Us	4/29/12	English
Isaiah 43	4/29/12	English
Oh Moradora de Sion	4/29/12	Spanish
Prince of Peace	4/29/12	Spanish
Sing for Joy	4/29/12	English
Beautiful	5/6/12	English
Me Has Atraido Jesus	5/6/12	Spanish
None But Jesus	5/6/12	Spanish
Our God	5/6/12	Both
Prince of Peace	5/6/12	English
How Great Thou Art	5/13/12	Both
Indescribable	5/13/12	English
Lion of Judah	5/13/12	English
Pan de Vida	5/13/12	Spanish
Revelation Song	5/13/12	Both
Blessed Be Your Name	5/20/12	Both
How Great Thou Art	5/20/12	Both
Isaiah 43	5/20/12	English
Refine Me	5/20/12	English
